run,p_max,IP,theta_npp,theta_r,sed_sink,resp_docl,resp_poc,settling_rate,sediment_rate,light_poc
1,1.0,3e-05,1.08,1.08,0.01,0.01,0.06,0.2,0.1,0.7
2,3.6954612140857392,5.99912134583382e-05,1.1133397742882414,1.376663302563658,-0.0036019336428133597,0.006433573205151967,0.15369134433403758,0.2807478722446053,0.8617481247682356,0.2592663494450565
3,1.1558045604570577,5.6752918549131825e-05,1.1606362132839103,1.2517681839748287,-0.28718144600426077,0.0037321542373927384,0.3946091084926423,0.2929925600442401,0.5211924098275571,0.845736959814642
4,3.8612664467002453,5.988830307654454e-05,1.1642216375914842,1.3265757956741795,-0.46101709924322465,0.0021079289605461845,0.41463114689797353,0.7209879283528111,0.3273756348479906,0.45014402992623587
5,0.8149255878870434,5.6120524179131576e-05,1.149298533702188,1.2398091123548303,-0.012050422133462968,0.002364387723571487,0.09497125849943197,0.6573113970175092,0.9885627669229373,0.6831546360439134
6,3.715233582698815,3.817130175212775e-05,1.1044693505597514,1.4742578386579668,-0.2883422023839148,0.007000052104736486,0.4846401681757287,0.8785475958450435,0.752618499965724,0.5823046837267132
7,3.003541776121109,1.639963915434182e-05,1.1596009824977977,1.2756394461253777,-0.3919295944123489,0.0023303720550056275,0.4326485774888372,0.41586662752819026,0.1655878436089489,0.4009582739576889
8,3.574426013255803,2.3155147594469156e-05,1.1396397044416253,1.132315546012508,-0.6257452357792186,0.0038027530093377323,0.1500314673261981,0.6765855828333539,0.6278433408054802,0.6521467000409382
9,4.599640534082328,1.053086618629249e-05,1.0739063471790833,1.2129973098533817,-0.21377429127482012,0.0032776302501958347,0.17854960065602832,0.835403916312232,0.3632307390278232,0.7947203155631355
10,3.204010643459636,5.2939347554195394e-05,1.1378377098286123,1.2568804792737627,-0.1541482824556335,0.009411643664481596,0.36408267007222883,0.24523649842854248,0.3554663101319645,0.27477888013642443
11,2.192884621997209,5.009186862920049e-05,1.1195723588744901,1.1892211774767847,-0.17443377388303705,0.008625273985911877,0.32974285076264465,0.9136837108399953,0.4738767451578867,0.2598936965066808
12,4.576860993711262,1.71258281419265e-05,1.142337378893168,1.3191225908644646,-0.11579315418781244,0.005091644965220691,0.24285958418300824,0.719106930060529,0.15814369271755044,0.6204120992227171
13,3.9632744667275963,4.8863267218612183e-05,1.1891430321235628,1.2741114009910388,-0.28028063418919386,0.008180714713947448,0.09665391877368731,0.14634582920951483,0.8569687919590406,0.6762577666413299
14,4.521944893191978,1.0680894933873079e-05,1.1170208705098454,1.1958852832797007,-0.18899516276349393,0.009343721008790044,0.1386062240205643,0.8620570569625918,0.19977308597626786,0.6334505756217391
15,2.626814738507049,3.983011624067905e-05,1.115828885166871,1.1543894009649762,-0.21271751909367625,0.006462185022114722,0.4226956460040461,0.3866250590622726,0.1316379223811493,0.2423839334464744
16,2.821028725120108,3.681655608833408e-05,1.0860449495804843,1.0415179360491105,-0.4765164252628713,0.0027861029451618164,0.3442084594077576,0.5149377583071701,0.6671624758147569,0.449166683772732
17,3.2501723440967325,3.679617307263306e-05,1.1737163779725694,1.408262770872802,-0.651811212867185,0.0010007029544937592,0.17724458704500662,0.26078266847411014,0.3088641175783076,0.7200037537013972
18,2.8488657708804728,2.100388378097474e-05,1.0825907889852944,1.4256108493889672,-0.12024527179841571,0.006128431727843703,0.37923124795532226,0.988358428936599,0.2269342283659514,0.8506581178155139
19,1.0805704631431712,4.977606593828468e-05,1.0722550059191334,1.0791186804514659,-0.18793730450806734,0.002888130791004765,0.39363892044216364,0.8018379690335177,0.5973630654312937,0.9642994931662872
